Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.106-192.168.0.103-53536-22-6,192.168.0.106,53536,192.168.0.103,22,6,04/07/2026 11:45:00 AM,36388,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.44476200945367,18194.0,25163.10191530448,35987.0,401.0,36388.0,36388.0,0.0,36388.0,36388.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,24,54.96317467296912,27.48158733648456,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53630-22-6,192.168.0.106,53630,192.168.0.103,22,6,04/07/2026 11:46:13 AM,318939,11,10,1234.0,1789.0,976.0,0.0,112.18181818181816,287.614261879281,1000.0,0.0,178.9,345.63900564349245,9478.30149338902,65.8433117304563,15946.949999999995,17999.813485802686,53116.0,66.0,293544.0,29354.4,29938.98028843185,91388.0,222.0,318548.0,35394.22222222222,31473.33039168948,102670.0,4026.0,0,0,0,0,360,316,34.489353763572346,31.35395796688396,0.0,1000.0,137.40909090909088,304.37393341413343,92643.49134199134,1,2,1,12,20,0,0,0,0.0,143.95238095238096,112.1818181818182,178.9,0,0,0,3023,12,12459,0,0,0,0,64240,0,7,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53552-22-6,192.168.0.106,53552,192.168.0.103,22,6,04/07/2026 11:46:14 AM,461311,16,17,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,134.88235294117646,265.5536392033022,8625.41755995413,71.53525495815187,14415.968749999998,17141.549974116137,70149.0,0.0,434198.0,28946.533333333336,32938.42727589652,118065.0,0.0,461093.0,28818.312500000007,20067.304986698306,70149.0,3258.0,0,0,0,0,520,540,34.68375997971,36.85149497844187,0.0,1000.0,117.02941176470593,244.77627203460435,59915.42335115864,1,2,1,23,32,0,0,0,1.0,120.57575757575758,105.375,134.88235294117646,0,0,0,3979,23,9442,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53556-22-6,192.168.0.106,53556,192.168.0.103,22,6,04/07/2026 11:46:14 AM,503901,16,17,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,134.88235294117646,265.5536392033022,7896.392346909412,65.48905439759,15746.906249999996,16970.388990085004,60984.0,0.0,500661.0,33377.4,32432.71569352685,109478.0,0.0,503822.0,31488.87500000001,19940.556247256496,60984.0,3050.0,0,0,0,0,520,540,31.75226879883152,33.73678559875848,0.0,1000.0,117.02941176470593,244.77627203460435,59915.42335115864,1,2,1,23,32,0,0,0,1.0,120.57575757575758,105.375,134.88235294117646,0,0,0,3979,23,8490,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53578-22-6,192.168.0.106,53578,192.168.0.103,22,6,04/07/2026 11:46:14 AM,533965,16,17,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,134.88235294117646,265.5536392033022,7451.799275233395,61.801803488992725,16686.406250000004,17702.621761104594,60556.0,0.0,512503.0,34166.86666666667,33211.223808196155,108522.0,0.0,533851.0,33365.6875,20311.56766875713,64790.0,4701.0,0,0,0,0,520,540,29.964510782541925,31.8372927064508,0.0,1000.0,117.02941176470593,244.77627203460435,59915.42335115864,1,2,1,23,32,0,0,0,1.0,120.57575757575758,105.375,134.88235294117646,0,0,0,3979,23,7971,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53560-22-6,192.168.0.106,53560,192.168.0.103,22,6,04/07/2026 11:46:14 AM,735750,16,17,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,134.88235294117646,265.5536392033022,5408.086986068637,44.85219164118247,22992.187500000004,48104.94045007899,273018.0,54.0,716128.0,47741.86666666667,82048.15204314621,323331.0,656.0,735696.0,45981.0,62743.73704415977,273342.0,6372.0,0,0,0,0,520,540,21.7465171593612,23.10567448182127,0.0,1000.0,117.02941176470593,244.77627203460435,59915.42335115864,1,2,1,23,32,0,0,0,1.0,120.57575757575758,105.375,134.88235294117646,0,0,0,3979,23,5675,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53602-22-6,192.168.0.106,53602,192.168.0.103,22,6,04/07/2026 11:46:29 AM,482026,16,17,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,134.88235294117646,265.5536392033022,8254.741445482194,68.46103737142809,15063.312500000004,14648.262035934062,45313.0,193.0,459046.0,30603.066666666666,30420.94869720692,93089.0,1460.0,481833.0,30114.5625,19641.09067565156,62883.0,4512.0,0,0,0,0,520,540,33.19323024069241,35.26780713073568,0.0,1000.0,117.02941176470593,244.77627203460435,59915.42335115864,1,2,1,23,32,0,0,0,1.0,120.57575757575758,105.375,134.88235294117646,0,0,0,3979,23,8923,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53612-22-6,192.168.0.106,53612,192.168.0.103,22,6,04/07/2026 11:46:29 AM,508722,16,17,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,134.88235294117646,265.5536392033022,7821.560695232367,64.8684350195195,15897.5625,14453.163756652482,45209.0,137.0,485544.0,32369.6,26267.703020466564,92705.0,956.0,508526.0,31782.875,17946.27127799347,62517.0,6494.0,0,0,0,0,520,540,31.451362433706425,33.417072585813074,0.0,1000.0,117.02941176470593,244.77627203460435,59915.42335115864,1,2,1,23,32,0,0,0,1.0,120.57575757575758,105.375,134.88235294117646,0,0,0,3979,23,8554,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53622-22-6,192.168.0.106,53622,192.168.0.103,22,6,04/07/2026 11:46:29 AM,482584,16,16,1686.0,2293.0,976.0,0.0,105.375,234.89313172873605,1000.0,0.0,143.31249999999997,271.9031000804024,8245.196691145997,66.30969945128723,15567.225806451614,14035.731757932866,50633.0,133.0,460406.0,30693.733333333334,28927.839274074147,106314.0,859.0,482350.0,32156.666666666668,14994.861241994427,60257.0,5477.0,0,0,0,0,520,508,33.154849725643615,33.154849725643615,0.0,1000.0,120.57575757575756,247.68289079776864,61346.8143939394,1,2,1,23,31,0,0,0,1.0,124.34375,105.375,143.3125,0,0,0,3979,23,8937,0,0,0,0,64240,0,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
192.168.0.106-192.168.0.103-53618-22-6,192.168.0.106,53618,192.168.0.103,22,6,04/07/2026 11:46:29 AM,709550,17,19,1770.0,2377.0,976.0,0.0,104.11764705882352,227.4933741762992,1000.0,0.0,125.10526315789473,252.4618551466608,5844.549362271862,50.73638221407934,20272.85714285714,36831.65304314696,217885.0,62.0,693887.0,43367.9375,58510.81338404466,239766.0,1417.0,709372.0,39409.55555555556,47058.722801125856,217885.0,5893.0,0,0,0,0,552,616,23.95884715664858,26.777535057430764,0.0,1000.0,112.08108108108112,235.241055843478,55338.35435435435,1,2,1,25,35,0,0,0,1.0,115.19444444444444,104.11764705882354,125.10526315789474,0,0,0,4147,25,6232,0,0,0,0,64240,0,13,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brute Force
